64|CONGO ONPT|1|1|0|0|CON01|正常|1999/1/1|2035/1/1|141|1|system|2007/9/13 7:58:55|
65|COSTA RICA RACSA|1|1|0|0|CRC01|正常|1999/1/1|2035/1/1|109|1|system|2007/9/13 7:58:55|
66|CROATIA HPT|1|1|0|0|CRO01|正常|1999/1/1|2035/1/1|57|1|system|2007/9/13 7:58:55|
67|CUBA ETECSA|1|1|0|0|CUB01|正常|2002/1/21|2035/1/1|110|1|system|2007/9/13 7:58:55|
68|CUBA MCI/WUI(TX)|1|1|0|0|CUB02|正常|1999/1/1|2035/1/1|110|0|system|2007/9/13 7:58:55|
69|CAPE VERDE TELECOM|1|1|0|0|CVD01|正常|1999/1/1|2035/1/1|137|1|system|2007/9/13 7:58:55|
70|CYPRUS TELECOM AUTHORITY|1|1|0|0|CYP01|正常|1999/1/1|2035/1/1|58|1|system|2007/9/13 7:58:55|
71|CZECH TELECOM|1|1|0|0|CZE01|正常|1999/1/1|2035/1/1|59|1|system|2007/9/13 7:58:55|
72|DENMARK TELE DANMARK|1|1|0|0|DEN01|正常|1999/1/1|2035/1/1|60|1|system|2007/9/13 7:58:55|
73|DIEGO GARCIA C|1|1|0|0|DGC01|正常|1999/1/1|2035/1/1|142|1|system|2007/9/13 7:58:55|
74|DJIBOUTI OPT|1|1|0|0|DJI01|正常|1999/1/1|2035/1/1|143|1|system|2007/9/13 7:58:55|
75|DOMINICA C|1|1|0|0|DMN01|正常|1999/1/1|2035/1/1|232|1|system|2007/9/13 7:58:55|
76|DOMINICANREP.GOVT|1|1|0|0|DMR01|正常|1999/1/1|2035/1/1|231|1|system|2007/9/13 7:58:55|
77|DOMINICANREP.MIRADOR(TG/TX)|1|1|0|0|DMR02|正常|1999/1/1|2035/1/1|231|0|system|2007/9/13 7:58:55|
78|DOMINICANREP.AACR(TG/TX)|1|1|0|0|DMR03|正常|1999/1/1|2035/1/1|231|0|system|2007/9/13 7:58:55|
79|DOMINICANREP.CDT(TX)|1|1|0|0|DMR04|正常|1999/1/1|2035/1/1|231|0|system|2007/9/13 7:58:55|
80|EUROPEAN BROADCASTING UNION|1|1|0|0|EBU01|正常|1999/1/1|2035/1/1|244|1|system|2007/9/13 7:58:55|
81|ECUADOR EMETEL S.A.|1|1|0|0|ECU01|正常|1999/1/1|2035/1/1|111|1|system|2007/9/13 7:58:55|
82|EQUATORIAL GUINEA TELECOM|1|1|0|0|EGN01|正常|1999/1/1|2035/1/1|145|1|system|2007/9/13 7:58:55|
83|EGYPT TELECOM|1|1|0|0|EGY01|正常|1999/1/1|2035/1/1|144|1|system|2007/9/13 7:58:55|
84|ERITREA TSE|1|1|0|0|ERI01|正常|1999/1/1|2035/1/1|61|1|system|2007/9/13 7:58:55|
